index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2023/08/21 20:01:54.331, 25.19 W, 1807 MHz, 7300 MHz, 1807 MHz
0, 2023/08/21 20:01:55.332, 76.86 W, 1965 MHz, 7300 MHz, 1965 MHz
0, 2023/08/21 20:01:56.333, 104.51 W, 1965 MHz, 7300 MHz, 1965 MHz
0, 2023/08/21 20:01:57.334, 105.90 W, 1965 MHz, 7300 MHz, 1965 MHz
0, 2023/08/21 20:01:58.339, 107.57 W, 1965 MHz, 7300 MHz, 1965 MHz
0, 2023/08/21 20:01:59.340, 109.46 W, 1965 MHz, 7300 MHz, 1965 MHz
0, 2023/08/21 20:02:00.341, 74.65 W, 1965 MHz, 7500 MHz, 1965 MHz
0, 2023/08/21 20:02:01.342, 47.55 W, 1965 MHz, 7500 MHz, 1965 MHz
0, 2023/08/21 20:02:02.343, 35.37 W, 480 MHz, 5000 MHz, 480 MHz
0, 2023/08/21 20:02:03.345, 30.16 W, 322 MHz, 5000 MHz, 322 MHz
0, 2023/08/21 20:02:04.346, 30.08 W, 240 MHz, 5000 MHz, 240 MHz
0, 2023/08/21 20:02:05.347, 27.08 W, 210 MHz, 810 MHz, 210 MHz
0, 2023/08/21 20:02:06.349, 21.62 W, 210 MHz, 810 MHz, 210 MHz
0, 2023/08/21 20:02:07.350, 21.60 W, 210 MHz, 405 MHz, 210 MHz
0, 2023/08/21 20:02:08.353, 20.77 W, 345 MHz, 405 MHz, 345 MHz
0, 2023/08/21 20:02:09.359, 21.18 W, 435 MHz, 810 MHz, 435 MHz
