begin timestamp : 1692662514.3228672; tag : query; duration : 0.21776676177978516; package_0 : 8146463.0; core_0 : 7768108.0; uncore_0 : 0.0; nvidia_gpu_0 : 8093
begin timestamp : 1692662514.5413787; tag : query; duration : 0.004315376281738281; package_0 : 509947.0; core_0 : 503295.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.5462317; tag : query; duration : 0.0038220882415771484; package_0 : 374632.0; core_0 : 370055.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.5505388; tag : query; duration : 0.005367279052734375; package_0 : 614623.0; core_0 : 606810.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.55911; tag : query; duration : 0.004555463790893555; package_0 : 456786.0; core_0 : 449278.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.5641756; tag : query; duration : 0.0037772655487060547; package_0 : 421569.0; core_0 : 415954.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.5684206; tag : query; duration : 0.003873586654663086; package_0 : 479125.0; core_0 : 473204.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.5730593; tag : query; duration : 0.004431962966918945; package_0 : 450072.0; core_0 : 444335.0; uncore_0 : 0.0; nvidia_gpu_0 : 2931
begin timestamp : 1692662514.5992815; tag : query; duration : 0.004578351974487305; package_0 : 171325.0; core_0 : 163574.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.6047144; tag : query; duration : 0.004736661911010742; package_0 : 574034.0; core_0 : 566465.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.6100342; tag : query; duration : 0.0040416717529296875; package_0 : 529417.0; core_0 : 523315.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.6145477; tag : query; duration : 0.0037953853607177734; package_0 : 372374.0; core_0 : 367858.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.6189418; tag : query; duration : 0.0043332576751708984; package_0 : 479308.0; core_0 : 473327.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.6237478; tag : query; duration : 0.004129886627197266; package_0 : 482176.0; core_0 : 476256.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.6283488; tag : query; duration : 0.005096912384033203; package_0 : 637328.0; core_0 : 629576.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.6339567; tag : query; duration : 0.004723072052001953; package_0 : 617064.0; core_0 : 609373.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
