index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2023/11/22 21:14:34.909, 25.45 W, 307 MHz, 1107 MHz, 307 MHz
0, 2023/11/22 21:14:35.913, 25.45 W, 307 MHz, 1107 MHz, 307 MHz
0, 2023/11/22 21:14:36.916, 24.76 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:37.933, 24.67 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:38.936, 24.67 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:39.939, 24.67 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:40.942, 24.57 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:41.945, 24.57 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:42.948, 24.57 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:43.951, 24.58 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:44.955, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:45.961, 24.58 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:46.966, 24.57 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:47.974, 24.48 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:48.981, 24.58 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:49.987, 24.58 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:50.993, 24.58 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:52.001, 24.48 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:53.008, 24.57 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:54.013, 24.57 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:55.019, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:56.024, 24.48 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:57.031, 24.48 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:58.039, 24.58 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:14:59.046, 24.48 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:00.055, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:01.063, 24.48 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:02.069, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:03.078, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:04.083, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:05.092, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:06.097, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:07.105, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:08.113, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
