begin timestamp : 1700705619.1063132; tag : query_just_inference_extract; duration : 0.07143592834472656; package_0 : 3878263.0; package_1 : 4246729.0; core_0 : 0.0; core_1 : 55540.0; nvidia_gpu_0 : 4574
begin timestamp : 1700705619.1807947; tag : query_just_inference_extract; duration : 0.014395952224731445; package_0 : 825106.0; package_1 : 940442.0; core_0 : 31.0; core_1 : 48170.0; nvidia_gpu_0 : 1465
begin timestamp : 1700705619.197839; tag : query_just_inference_extract; duration : 0.013406515121459961; package_0 : 768485.0; package_1 : 878388.0; core_0 : 15.0; core_1 : 46888.0; nvidia_gpu_0 : 1665
begin timestamp : 1700705619.2139943; tag : query_just_inference_extract; duration : 0.013340234756469727; package_0 : 766836.0; package_1 : 878526.0; core_0 : 0.0; core_1 : 47101.0; nvidia_gpu_0 : 2265
begin timestamp : 1700705619.2326155; tag : query_just_inference_extract; duration : 0.013302326202392578; package_0 : 711618.0; package_1 : 816486.0; core_0 : 0.0; core_1 : 44339.0; nvidia_gpu_0 : 0
begin timestamp : 1700705619.2464454; tag : query_just_inference_extract; duration : 0.013324737548828125; package_0 : 712259.0; package_1 : 819507.0; core_0 : 0.0; core_1 : 45027.0; nvidia_gpu_0 : 3604
begin timestamp : 1700705619.262344; tag : query_just_inference_extract; duration : 0.013294458389282227; package_0 : 712030.0; package_1 : 817570.0; core_0 : 0.0; core_1 : 45164.0; nvidia_gpu_0 : 1842
begin timestamp : 1700705619.2782116; tag : query_just_inference_extract; duration : 0.0133056640625; package_0 : 766837.0; package_1 : 878479.0; core_0 : 0.0; core_1 : 45728.0; nvidia_gpu_0 : 1795
begin timestamp : 1700705619.2942078; tag : query_just_inference_extract; duration : 0.013469457626342773; package_0 : 766852.0; package_1 : 881805.0; core_0 : 0.0; core_1 : 47376.0; nvidia_gpu_0 : 2231
begin timestamp : 1700705619.3126605; tag : query_just_inference_extract; duration : 0.01350712776184082; package_0 : 712030.0; package_1 : 819309.0; core_0 : 0.0; core_1 : 45149.0; nvidia_gpu_0 : 0
begin timestamp : 1700705624.577355; tag : query_just_inference_extract; duration : 0.01701951026916504; package_0 : 915267.0; package_1 : 1041953.0; core_0 : 0.0; core_1 : 49024.0; nvidia_gpu_0 : 0
begin timestamp : 1700705624.5949752; tag : query_just_inference_extract; duration : 0.012180566787719727; package_0 : 656887.0; package_1 : 759025.0; core_0 : 0.0; core_1 : 41639.0; nvidia_gpu_0 : 2435
begin timestamp : 1700705624.6097367; tag : query_just_inference_extract; duration : 0.012176513671875; package_0 : 658093.0; package_1 : 755714.0; core_0 : 0.0; core_1 : 41425.0; nvidia_gpu_0 : 1421
begin timestamp : 1700705624.6245272; tag : query_just_inference_extract; duration : 0.012203454971313477; package_0 : 656444.0; package_1 : 756705.0; core_0 : 0.0; core_1 : 42235.0; nvidia_gpu_0 : 0
