begin timestamp : 1700705466.6240404; tag : query_just_inference; duration : 0.016243696212768555; package_0 : 879547.0; package_1 : 999308.0; core_0 : 0.0; core_1 : 46995.0; nvidia_gpu_0 : 0
begin timestamp : 1700705466.6408772; tag : query_just_inference; duration : 0.012780427932739258; package_0 : 715737.0; package_1 : 819583.0; core_0 : 0.0; core_1 : 42905.0; nvidia_gpu_0 : 2560
begin timestamp : 1700705466.6562834; tag : query_just_inference; duration : 0.011945962905883789; package_0 : 658840.0; package_1 : 756064.0; core_0 : 0.0; core_1 : 41669.0; nvidia_gpu_0 : 1380
begin timestamp : 1700705466.670841; tag : query_just_inference; duration : 0.012478828430175781; package_0 : 712609.0; package_1 : 817844.0; core_0 : 0.0; core_1 : 43882.0; nvidia_gpu_0 : 1700
begin timestamp : 1700705466.688271; tag : query_just_inference; duration : 0.012033939361572266; package_0 : 657910.0; package_1 : 756248.0; core_0 : 0.0; core_1 : 41730.0; nvidia_gpu_0 : 0
begin timestamp : 1700705466.700859; tag : query_just_inference; duration : 0.012003183364868164; package_0 : 658870.0; package_1 : 758658.0; core_0 : 626.0; core_1 : 40754.0; nvidia_gpu_0 : 2859
begin timestamp : 1700705466.715602; tag : query_just_inference; duration : 0.011887073516845703; package_0 : 657406.0; package_1 : 753226.0; core_0 : 0.0; core_1 : 40632.0; nvidia_gpu_0 : 1419
begin timestamp : 1700705466.73022; tag : query_just_inference; duration : 0.011818885803222656; package_0 : 660946.0; package_1 : 752082.0; core_0 : 0.0; core_1 : 38404.0; nvidia_gpu_0 : 0
begin timestamp : 1700705466.7425795; tag : query_just_inference; duration : 0.011896848678588867; package_0 : 657101.0; package_1 : 756461.0; core_0 : 0.0; core_1 : 40953.0; nvidia_gpu_0 : 2964
begin timestamp : 1700705466.7571073; tag : query_just_inference; duration : 0.011960744857788086; package_0 : 657391.0; package_1 : 752082.0; core_0 : 0.0; core_1 : 39717.0; nvidia_gpu_0 : 1488
begin timestamp : 1700705471.98139; tag : query_just_inference; duration : 0.014359474182128906; package_0 : 758399.0; package_1 : 862611.0; core_0 : 0.0; core_1 : 42463.0; nvidia_gpu_0 : 1055
begin timestamp : 1700705472.000036; tag : query_just_inference; duration : 0.011926889419555664; package_0 : 658124.0; package_1 : 754600.0; core_0 : 290.0; core_1 : 40296.0; nvidia_gpu_0 : 0
