begin timestamp : 1700707891.536212; tag : query_2; duration : 0.14703702926635742; package_0 : 8042644.0; package_1 : 9268548.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6575
begin timestamp : 1700707891.6862383; tag : query_2; duration : 0.15088438987731934; package_0 : 8250138.0; package_1 : 9535838.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6927
begin timestamp : 1700707891.8400133; tag : query_2; duration : 0.15223312377929688; package_0 : 8310834.0; package_1 : 9591026.0; core_0 : 366.0; core_1 : 0.0; nvidia_gpu_0 : 6995
begin timestamp : 1700707891.9953625; tag : query_2; duration : 0.16008472442626953; package_0 : 8690285.0; package_1 : 10040313.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7330
begin timestamp : 1700707892.158428; tag : query_2; duration : 0.12861347198486328; package_0 : 7057816.0; package_1 : 8193210.0; core_0 : 0.0; core_1 : 2182.0; nvidia_gpu_0 : 5901
begin timestamp : 1700707892.2899225; tag : query_2; duration : 0.17387008666992188; package_0 : 9466399.0; package_1 : 10924606.0; core_0 : 732.0; core_1 : 0.0; nvidia_gpu_0 : 8102
begin timestamp : 1700707892.4675515; tag : query_2; duration : 0.11178278923034668; package_0 : 6068442.0; package_1 : 7011738.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5239
begin timestamp : 1700707892.5822084; tag : query_2; duration : 0.1625680923461914; package_0 : 8911343.0; package_1 : 10285922.0; core_0 : 0.0; core_1 : 9048.0; nvidia_gpu_0 : 7204
begin timestamp : 1700707892.7479491; tag : query_2; duration : 0.1607074737548828; package_0 : 8758565.0; package_1 : 10324875.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7383
begin timestamp : 1700707892.9117064; tag : query_2; duration : 0.11949586868286133; package_0 : 6508620.0; package_1 : 7513161.0; core_0 : 2365.0; core_1 : 2853.0; nvidia_gpu_0 : 5550
begin timestamp : 1700707893.0340788; tag : query_2; duration : 0.12759661674499512; package_0 : 7000478.0; package_1 : 8089974.0; core_0 : 0.0; core_1 : 15.0; nvidia_gpu_0 : 5900
begin timestamp : 1700707893.1646087; tag : query_2; duration : 0.1475691795349121; package_0 : 8038937.0; package_1 : 9275293.0; core_0 : 687.0; core_1 : 2106.0; nvidia_gpu_0 : 6606
begin timestamp : 1700707893.3153582; tag : query_2; duration : 0.11192440986633301; package_0 : 6123401.0; package_1 : 7069306.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5227
begin timestamp : 1700707893.4301872; tag : query_2; duration : 0.1345829963684082; package_0 : 7324741.0; package_1 : 8462392.0; core_0 : 183.0; core_1 : 0.0; nvidia_gpu_0 : 6340
begin timestamp : 1700707893.5701392; tag : query_2; duration : 0.14951014518737793; package_0 : 8201328.0; package_1 : 9461546.0; core_0 : 0.0; core_1 : 503.0; nvidia_gpu_0 : 6914
begin timestamp : 1700707893.7224886; tag : query_2; duration : 0.11178350448608398; package_0 : 6122730.0; package_1 : 7076797.0; core_0 : 0.0; core_1 : 3037.0; nvidia_gpu_0 : 5225
begin timestamp : 1700707893.8371737; tag : query_2; duration : 0.16138887405395508; package_0 : 8830202.0; package_1 : 10156411.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7487
