begin timestamp : 1700706221.2795537; tag : query; duration : 2.901743173599243; package_0 : 159279208.0; package_1 : 177706341.0; core_0 : 3631.0; core_1 : 152.0; nvidia_gpu_0 : 105179
begin timestamp : 1700706224.1902921; tag : query; duration : 0.15581393241882324; package_0 : 8482807.0; package_1 : 9774031.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7190
begin timestamp : 1700706224.3490047; tag : query; duration : 0.15593385696411133; package_0 : 8535356.0; package_1 : 9847086.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7160
begin timestamp : 1700706224.5078042; tag : query; duration : 0.16472315788269043; package_0 : 9029959.0; package_1 : 10421229.0; core_0 : 382.0; core_1 : 0.0; nvidia_gpu_0 : 7545
begin timestamp : 1700706224.6755254; tag : query; duration : 0.13537859916687012; package_0 : 7396972.0; package_1 : 8506763.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6207
begin timestamp : 1700706224.814852; tag : query; duration : 0.17925405502319336; package_0 : 9792080.0; package_1 : 11292141.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 8208
begin timestamp : 1700706224.9969964; tag : query; duration : 0.11446785926818848; package_0 : 6236616.0; package_1 : 7190637.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5330
begin timestamp : 1700706225.1143122; tag : query; duration : 0.16309809684753418; package_0 : 8922939.0; package_1 : 10281222.0; core_0 : 595.0; core_1 : 0.0; nvidia_gpu_0 : 7539
begin timestamp : 1700706225.28028; tag : query; duration : 0.16337251663208008; package_0 : 8971948.0; package_1 : 10349242.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7594
begin timestamp : 1700706225.4487617; tag : query; duration : 0.12582921981811523; package_0 : 6839795.0; package_1 : 7888111.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5797
begin timestamp : 1700706225.5777404; tag : query; duration : 0.13148045539855957; package_0 : 7222070.0; package_1 : 8321957.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6086
begin timestamp : 1700706225.712134; tag : query; duration : 0.1475534439086914; package_0 : 8116935.0; package_1 : 9337423.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6807
begin timestamp : 1700706225.8625596; tag : query; duration : 0.11442327499389648; package_0 : 6236616.0; package_1 : 7186136.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5294
begin timestamp : 1700706225.9798691; tag : query; duration : 0.13950777053833008; package_0 : 7604922.0; package_1 : 8775608.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6479
begin timestamp : 1700706226.1223147; tag : query; duration : 0.1565110683441162; package_0 : 8536240.0; package_1 : 9836955.0; core_0 : 580.0; core_1 : 0.0; nvidia_gpu_0 : 7148
begin timestamp : 1700706226.281803; tag : query; duration : 0.11457133293151855; package_0 : 6254239.0; package_1 : 7188013.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5301
begin timestamp : 1700706226.399266; tag : query; duration : 0.16338849067687988; package_0 : 8921185.0; package_1 : 10280886.0; core_0 : 0.0; core_1 : 46.0; nvidia_gpu_0 : 7533
begin timestamp : 1700706226.5655432; tag : query; duration : 0.11920619010925293; package_0 : 6528562.0; package_1 : 7489008.0; core_0 : 183.0; core_1 : 122.0; nvidia_gpu_0 : 5257
begin timestamp : 1700706226.6879172; tag : query; duration : 0.152601957321167; package_0 : 8381067.0; package_1 : 9639790.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6798
begin timestamp : 1700706226.8433688; tag : query; duration : 0.06744766235351562; package_0 : 3665033.0; package_1 : 4227717.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 3193
begin timestamp : 1700706226.9137022; tag : query; duration : 0.16329717636108398; package_0 : 8917935.0; package_1 : 10294283.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7522
begin timestamp : 1700706227.07988; tag : query; duration : 0.11443018913269043; package_0 : 6237165.0; package_1 : 7190454.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5288
begin timestamp : 1700706227.1971333; tag : query; duration : 0.17220282554626465; package_0 : 9424012.0; package_1 : 11043313.0; core_0 : 168.0; core_1 : 0.0; nvidia_gpu_0 : 7913
begin timestamp : 1700706227.372578; tag : query; duration : 0.12457418441772461; package_0 : 6785431.0; package_1 : 7838492.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5722
begin timestamp : 1700706227.500012; tag : query; duration : 0.1784670352935791; package_0 : 9758910.0; package_1 : 11221374.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 8189
begin timestamp : 1700706227.6813316; tag : query; duration : 0.11403322219848633; package_0 : 6256253.0; package_1 : 7179270.0; core_0 : 412.0; core_1 : 0.0; nvidia_gpu_0 : 5273
begin timestamp : 1700706227.7982078; tag : query; duration : 0.12296557426452637; package_0 : 6677649.0; package_1 : 7699659.0; core_0 : 76.0; core_1 : 0.0; nvidia_gpu_0 : 5710
begin timestamp : 1700706227.9240813; tag : query; duration : 0.14752984046936035; package_0 : 8045254.0; package_1 : 9342504.0; core_0 : 0.0; core_1 : 16.0; nvidia_gpu_0 : 6818
begin timestamp : 1700706228.0744603; tag : query; duration : 0.14694619178771973; package_0 : 8045132.0; package_1 : 9275094.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6773
begin timestamp : 1700706228.2242982; tag : query; duration : 0.17318248748779297; package_0 : 9470686.0; package_1 : 10967832.0; core_0 : 595.0; core_1 : 0.0; nvidia_gpu_0 : 7939
begin timestamp : 1700706228.4003396; tag : query; duration : 0.12339329719543457; package_0 : 6731249.0; package_1 : 7769603.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5745
begin timestamp : 1700706228.5266547; tag : query; duration : 0.15743780136108398; package_0 : 8588454.0; package_1 : 9890266.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7239
begin timestamp : 1700706228.687223; tag : query; duration : 0.15458250045776367; package_0 : 8439474.0; package_1 : 9701510.0; core_0 : 366.0; core_1 : 1068.0; nvidia_gpu_0 : 7102
begin timestamp : 1700706228.84469; tag : query; duration : 0.1629326343536377; package_0 : 8919873.0; package_1 : 10285372.0; core_0 : 76.0; core_1 : 0.0; nvidia_gpu_0 : 7495
