begin timestamp : 1709514707.713166; tag : query_2; duration : 0.13086485862731934; package_0 : 1981806.0; package_1 : 6684065.0; dram_0 : 565932.0; dram_1 : 1290249.0
begin timestamp : 1709514707.8448293; tag : query_2; duration : 0.11362791061401367; package_0 : 2275568.0; package_1 : 6872663.0; dram_0 : 515074.0; dram_1 : 1201662.0
begin timestamp : 1709514707.9591715; tag : query_2; duration : 0.1123361587524414; package_0 : 2241327.0; package_1 : 6552962.0; dram_0 : 502590.0; dram_1 : 1162509.0
begin timestamp : 1709514708.0737336; tag : query_2; duration : 0.09708094596862793; package_0 : 1966243.0; package_1 : 5995407.0; dram_0 : 448014.0; dram_1 : 1081634.0
begin timestamp : 1709514708.1719456; tag : query_2; duration : 0.11296629905700684; package_0 : 2524774.0; package_1 : 7090864.0; dram_0 : 680911.0; dram_1 : 1192099.0
begin timestamp : 1709514708.2858617; tag : query_2; duration : 0.09922170639038086; package_0 : 2358270.0; package_1 : 5941696.0; dram_0 : 632991.0; dram_1 : 1070694.0
begin timestamp : 1709514708.3859875; tag : query_2; duration : 0.12074708938598633; package_0 : 3226371.0; package_1 : 7322002.0; dram_0 : 781661.0; dram_1 : 1231436.0
begin timestamp : 1709514708.5076525; tag : query_2; duration : 0.10586357116699219; package_0 : 2986809.0; package_1 : 6356002.0; dram_0 : 680866.0; dram_1 : 1085810.0
begin timestamp : 1709514708.6144123; tag : query_2; duration : 0.10282111167907715; package_0 : 3166068.0; package_1 : 6070297.0; dram_0 : 660792.0; dram_1 : 1092711.0
begin timestamp : 1709514708.7181563; tag : query_2; duration : 0.11525082588195801; package_0 : 3697866.0; package_1 : 6905866.0; dram_0 : 762552.0; dram_1 : 1178881.0
begin timestamp : 1709514708.834386; tag : query_2; duration : 0.11331653594970703; package_0 : 4048268.0; package_1 : 6396712.0; dram_0 : 750006.0; dram_1 : 1187387.0
begin timestamp : 1709514708.9486332; tag : query_2; duration : 0.10535073280334473; package_0 : 3988394.0; package_1 : 5708848.0; dram_0 : 668167.0; dram_1 : 1071857.0
begin timestamp : 1709514709.0551448; tag : query_2; duration : 0.10614824295043945; package_0 : 4310779.0; package_1 : 5551499.0; dram_0 : 695752.0; dram_1 : 1102243.0
begin timestamp : 1709514709.1619792; tag : query_2; duration : 0.09485435485839844; package_0 : 3950369.0; package_1 : 5057666.0; dram_0 : 634552.0; dram_1 : 1022820.0
begin timestamp : 1709514709.2575114; tag : query_2; duration : 0.09609103202819824; package_0 : 4204091.0; package_1 : 5045580.0; dram_0 : 629013.0; dram_1 : 1062019.0
begin timestamp : 1709514709.354285; tag : query_2; duration : 0.0995485782623291; package_0 : 4450855.0; package_1 : 5119677.0; dram_0 : 666988.0; dram_1 : 1054017.0
begin timestamp : 1709514709.454514; tag : query_2; duration : 0.08674454689025879; package_0 : 4143910.0; package_1 : 4442981.0; dram_0 : 579809.0; dram_1 : 1000115.0
begin timestamp : 1709514709.54194; tag : query_2; duration : 0.08672428131103516; package_0 : 4482899.0; package_1 : 4700733.0; dram_0 : 599240.0; dram_1 : 983454.0
begin timestamp : 1709514709.6293237; tag : query_2; duration : 0.08406448364257812; package_0 : 4350087.0; package_1 : 4581593.0; dram_0 : 563974.0; dram_1 : 969898.0
begin timestamp : 1709514709.714039; tag : query_2; duration : 0.09204626083374023; package_0 : 4965502.0; package_1 : 5160814.0; dram_0 : 631385.0; dram_1 : 1037814.0
begin timestamp : 1709514709.8068142; tag : query_2; duration : 0.08172869682312012; package_0 : 4106556.0; package_1 : 4309742.0; dram_0 : 567599.0; dram_1 : 924824.0
begin timestamp : 1709514709.8892214; tag : query_2; duration : 0.08619356155395508; package_0 : 4518360.0; package_1 : 4736438.0; dram_0 : 594910.0; dram_1 : 989160.0
begin timestamp : 1709514709.9760828; tag : query_2; duration : 0.08141827583312988; package_0 : 4080311.0; package_1 : 4322804.0; dram_0 : 549362.0; dram_1 : 950941.0
begin timestamp : 1709514710.0581605; tag : query_2; duration : 0.08615469932556152; package_0 : 4530384.0; package_1 : 4736377.0; dram_0 : 596899.0; dram_1 : 999916.0
begin timestamp : 1709514710.144986; tag : query_2; duration : 0.08061456680297852; package_0 : 4039540.0; package_1 : 4276234.0; dram_0 : 544634.0; dram_1 : 954032.0
begin timestamp : 1709514710.2262533; tag : query_2; duration : 0.08721733093261719; package_0 : 4625477.0; package_1 : 4840869.0; dram_0 : 591284.0; dram_1 : 992495.0
begin timestamp : 1709514710.3141432; tag : query_2; duration : 0.08856463432312012; package_0 : 4733386.0; package_1 : 4951342.0; dram_0 : 607548.0; dram_1 : 1044088.0
begin timestamp : 1709514710.4033945; tag : query_2; duration : 0.08475732803344727; package_0 : 4428090.0; package_1 : 4599415.0; dram_0 : 572786.0; dram_1 : 978940.0
begin timestamp : 1709514710.4888294; tag : query_2; duration : 0.08365035057067871; package_0 : 4312306.0; package_1 : 4543384.0; dram_0 : 569512.0; dram_1 : 977119.0
begin timestamp : 1709514710.5731416; tag : query_2; duration : 0.08161020278930664; package_0 : 4096913.0; package_1 : 4338551.0; dram_0 : 544941.0; dram_1 : 969591.0
begin timestamp : 1709514710.655446; tag : query_2; duration : 0.08796215057373047; package_0 : 4642810.0; package_1 : 4871814.0; dram_0 : 593808.0; dram_1 : 1004201.0
begin timestamp : 1709514710.744094; tag : query_2; duration : 0.0836799144744873; package_0 : 4361683.0; package_1 : 4504200.0; dram_0 : 575265.0; dram_1 : 925712.0
begin timestamp : 1709514710.8284354; tag : query_2; duration : 0.083587646484375; package_0 : 4314320.0; package_1 : 4501209.0; dram_0 : 578233.0; dram_1 : 973034.0
begin timestamp : 1709514710.9127033; tag : query_2; duration : 0.08280754089355469; package_0 : 4266469.0; package_1 : 4431385.0; dram_0 : 571286.0; dram_1 : 960717.0
begin timestamp : 1709514710.9961839; tag : query_2; duration : 0.08656692504882812; package_0 : 4563709.0; package_1 : 4720752.0; dram_0 : 602423.0; dram_1 : 983454.0
begin timestamp : 1709514711.0834067; tag : query_2; duration : 0.0892179012298584; package_0 : 4565052.0; package_1 : 4769031.0; dram_0 : 613728.0; dram_1 : 1027945.0
begin timestamp : 1709514711.1733181; tag : query_2; duration : 0.08520817756652832; package_0 : 4479969.0; package_1 : 4716114.0; dram_0 : 582547.0; dram_1 : 981020.0
begin timestamp : 1709514711.2591846; tag : query_2; duration : 0.08168745040893555; package_0 : 4170644.0; package_1 : 4345570.0; dram_0 : 570414.0; dram_1 : 941318.0
