index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2023/11/22 21:15:33.982, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:34.994, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:35.997, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:37.000, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:38.003, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:39.006, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:40.009, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:41.012, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:42.016, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:43.031, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:44.034, 24.44 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:45.039, 24.36 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:46.042, 24.36 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:47.045, 24.35 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:48.048, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:49.049, 24.45 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:50.052, 24.36 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:51.056, 24.45 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:52.059, 24.25 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:53.062, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:54.063, 24.45 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:55.067, 24.35 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:56.071, 24.35 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:57.075, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:58.079, 24.34 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:15:59.084, 24.45 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:16:00.087, 24.34 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:16:01.092, 24.35 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:16:02.097, 24.34 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:16:03.101, 24.45 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:16:04.104, 24.34 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:16:05.109, 24.35 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:16:06.114, 24.34 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:16:07.118, 24.35 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:16:08.122, 24.34 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:16:09.127, 24.34 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:16:10.130, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:16:11.135, 24.25 W, 135 MHz, 1107 MHz, 135 MHz
