begin timestamp : 1700705579.4039347; tag : query_just_inference; duration : 0.015392303466796875; package_0 : 822635.0; package_1 : 933454.0; core_0 : 0.0; core_1 : 44797.0; nvidia_gpu_0 : 1003
begin timestamp : 1700705579.4220881; tag : query_just_inference; duration : 0.012065649032592773; package_0 : 657895.0; package_1 : 754264.0; core_0 : 199.0; core_1 : 40876.0; nvidia_gpu_0 : 0
begin timestamp : 1700705579.434697; tag : query_just_inference; duration : 0.0182492733001709; package_0 : 984950.0; package_1 : 1118839.0; core_0 : 0.0; core_1 : 48536.0; nvidia_gpu_0 : 0
begin timestamp : 1700705579.4534903; tag : query_just_inference; duration : 0.012018918991088867; package_0 : 657177.0; package_1 : 759009.0; core_0 : 0.0; core_1 : 42630.0; nvidia_gpu_0 : 2673
begin timestamp : 1700705579.4681866; tag : query_just_inference; duration : 0.012101411819458008; package_0 : 657589.0; package_1 : 754371.0; core_0 : 0.0; core_1 : 40785.0; nvidia_gpu_0 : 1363
begin timestamp : 1700705579.4829037; tag : query_just_inference; duration : 0.012086153030395508; package_0 : 657452.0; package_1 : 755714.0; core_0 : 0.0; core_1 : 41669.0; nvidia_gpu_0 : 1764
begin timestamp : 1700705579.5005145; tag : query_just_inference; duration : 0.011880874633789062; package_0 : 657239.0; package_1 : 751335.0; core_0 : 0.0; core_1 : 39777.0; nvidia_gpu_0 : 0
begin timestamp : 1700705579.5130916; tag : query_just_inference; duration : 0.01202535629272461; package_0 : 659450.0; package_1 : 756324.0; core_0 : 0.0; core_1 : 40968.0; nvidia_gpu_0 : 2667
begin timestamp : 1700705579.5277352; tag : query_just_inference; duration : 0.011897802352905273; package_0 : 602477.0; package_1 : 690882.0; core_0 : 0.0; core_1 : 41868.0; nvidia_gpu_0 : 1427
begin timestamp : 1700705579.543187; tag : query_just_inference; duration : 0.011871099472045898; package_0 : 656780.0; package_1 : 753639.0; core_0 : 0.0; core_1 : 40815.0; nvidia_gpu_0 : 0
begin timestamp : 1700705584.694807; tag : query_just_inference; duration : 0.01456308364868164; package_0 : 749137.0; package_1 : 858034.0; core_0 : 0.0; core_1 : 42661.0; nvidia_gpu_0 : 813
