begin timestamp : 1700709204.7239845; tag : query; duration : 1.6212773323059082; package_0 : 122937383.0; package_1 : 135235804.0; core_0 : 695872.0; core_1 : 683650.0; nvidia_gpu_0 : 39619
begin timestamp : 1700709206.3483918; tag : query; duration : 1.0809299945831299; package_0 : 91598061.0; package_1 : 98039532.0; core_0 : 617415.0; core_1 : 606597.0; nvidia_gpu_0 : 26657
begin timestamp : 1700709207.4347594; tag : query; duration : 1.1387488842010498; package_0 : 96824476.0; package_1 : 103045315.0; core_0 : 658352.0; core_1 : 649136.0; nvidia_gpu_0 : 28193
begin timestamp : 1700709208.5840154; tag : query; duration : 1.1436288356781006; package_0 : 96019998.0; package_1 : 103852677.0; core_0 : 714837.0; core_1 : 643842.0; nvidia_gpu_0 : 28160
begin timestamp : 1700709209.7333007; tag : query; duration : 0.8555982112884521; package_0 : 69269673.0; package_1 : 78107030.0; core_0 : 514515.0; core_1 : 480199.0; nvidia_gpu_0 : 21166
begin timestamp : 1700709210.5970502; tag : query; duration : 1.1025211811065674; package_0 : 90477041.0; package_1 : 102663560.0; core_0 : 676173.0; core_1 : 659558.0; nvidia_gpu_0 : 27094
begin timestamp : 1700709211.702625; tag : query; duration : 0.742286205291748; package_0 : 60715977.0; package_1 : 67798298.0; core_0 : 492223.0; core_1 : 418603.0; nvidia_gpu_0 : 18251
begin timestamp : 1700709212.4479954; tag : query; duration : 1.1660497188568115; package_0 : 96978216.0; package_1 : 104768142.0; core_0 : 646802.0; core_1 : 639417.0; nvidia_gpu_0 : 28479
begin timestamp : 1700709213.6247015; tag : query; duration : 1.1397430896759033; package_0 : 96043907.0; package_1 : 103449881.0; core_0 : 657375.0; core_1 : 651806.0; nvidia_gpu_0 : 28001
begin timestamp : 1700709214.7685642; tag : query; duration : 0.8224563598632812; package_0 : 67403238.0; package_1 : 75218659.0; core_0 : 524769.0; core_1 : 463554.0; nvidia_gpu_0 : 20191
begin timestamp : 1700709215.594165; tag : query; duration : 0.8577315807342529; package_0 : 72371258.0; package_1 : 80083460.0; core_0 : 562609.0; core_1 : 596450.0; nvidia_gpu_0 : 20686
begin timestamp : 1700709216.455016; tag : query; duration : 1.3091175556182861; package_0 : 116355570.0; package_1 : 124541503.0; core_0 : 949444.0; core_1 : 897629.0; nvidia_gpu_0 : 31842
begin timestamp : 1700709217.7725434; tag : query; duration : 0.9648189544677734; package_0 : 91060049.0; package_1 : 93963128.0; core_0 : 641385.0; core_1 : 600937.0; nvidia_gpu_0 : 23675
begin timestamp : 1700709218.7405598; tag : query; duration : 1.1909692287445068; package_0 : 111842650.0; package_1 : 115386520.0; core_0 : 771017.0; core_1 : 744208.0; nvidia_gpu_0 : 28916
begin timestamp : 1700709219.9381793; tag : query; duration : 1.112612247467041; package_0 : 103452490.0; package_1 : 106523452.0; core_0 : 715249.0; core_1 : 703379.0; nvidia_gpu_0 : 27444
begin timestamp : 1700709221.0611691; tag : query; duration : 0.7701668739318848; package_0 : 69126216.0; package_1 : 68486891.0; core_0 : 479849.0; core_1 : 443504.0; nvidia_gpu_0 : 19065
begin timestamp : 1700709221.842348; tag : query; duration : 1.1405878067016602; package_0 : 99932256.0; package_1 : 98404411.0; core_0 : 683802.0; core_1 : 669399.0; nvidia_gpu_0 : 27953
begin timestamp : 1700709222.9861646; tag : query; duration : 0.7843949794769287; package_0 : 68760421.0; package_1 : 67014189.0; core_0 : 479528.0; core_1 : 438103.0; nvidia_gpu_0 : 19522
begin timestamp : 1700709223.785268; tag : query; duration : 0.9583816528320312; package_0 : 84017002.0; package_1 : 81692247.0; core_0 : 572541.0; core_1 : 561082.0; nvidia_gpu_0 : 23537
begin timestamp : 1700709224.7487082; tag : query; duration : 0.4424099922180176; package_0 : 40845910.0; package_1 : 39594724.0; core_0 : 283662.0; core_1 : 290970.0; nvidia_gpu_0 : 10870
begin timestamp : 1700709225.194413; tag : query; duration : 1.1101014614105225; package_0 : 96638358.0; package_1 : 94556542.0; core_0 : 639280.0; core_1 : 623259.0; nvidia_gpu_0 : 26908
begin timestamp : 1700709226.3115115; tag : query; duration : 0.7537753582000732; package_0 : 66721602.0; package_1 : 65049493.0; core_0 : 471807.0; core_1 : 434579.0; nvidia_gpu_0 : 18585
begin timestamp : 1700709227.0724683; tag : query; duration : 1.1703453063964844; package_0 : 103663920.0; package_1 : 102385665.0; core_0 : 703744.0; core_1 : 685390.0; nvidia_gpu_0 : 28899
begin timestamp : 1700709228.256386; tag : query; duration : 0.8367199897766113; package_0 : 74157878.0; package_1 : 72289322.0; core_0 : 537280.0; core_1 : 485814.0; nvidia_gpu_0 : 20519
begin timestamp : 1700709229.097572; tag : query; duration : 1.2134857177734375; package_0 : 105367354.0; package_1 : 104327857.0; core_0 : 716516.0; core_1 : 685511.0; nvidia_gpu_0 : 29860
begin timestamp : 1700709230.3203812; tag : query; duration : 0.7731852531433105; package_0 : 67743506.0; package_1 : 66573278.0; core_0 : 470145.0; core_1 : 447212.0; nvidia_gpu_0 : 19063
begin timestamp : 1700709231.1025562; tag : query; duration : 0.8420615196228027; package_0 : 74273320.0; package_1 : 72343030.0; core_0 : 508168.0; core_1 : 485723.0; nvidia_gpu_0 : 20600
begin timestamp : 1700709231.9477541; tag : query; duration : 0.965639591217041; package_0 : 84633242.0; package_1 : 82647459.0; core_0 : 566652.0; core_1 : 555635.0; nvidia_gpu_0 : 23866
begin timestamp : 1700709232.9271705; tag : query; duration : 0.9673411846160889; package_0 : 84642412.0; package_1 : 82124629.0; core_0 : 564302.0; core_1 : 556704.0; nvidia_gpu_0 : 23636
begin timestamp : 1700709233.8976815; tag : query; duration : 1.2173740863800049; package_0 : 105934127.0; package_1 : 104996280.0; core_0 : 707391.0; core_1 : 695704.0; nvidia_gpu_0 : 29356
begin timestamp : 1700709235.1182015; tag : query; duration : 0.8120303153991699; package_0 : 71980637.0; package_1 : 71030689.0; core_0 : 479666.0; core_1 : 474021.0; nvidia_gpu_0 : 20023
begin timestamp : 1700709235.9401636; tag : query; duration : 1.0206949710845947; package_0 : 90493047.0; package_1 : 89283255.0; core_0 : 610823.0; core_1 : 602782.0; nvidia_gpu_0 : 24941
begin timestamp : 1700709236.9644952; tag : query; duration : 1.021303415298462; package_0 : 89765500.0; package_1 : 87832143.0; core_0 : 614226.0; core_1 : 605513.0; nvidia_gpu_0 : 24967
begin timestamp : 1700709237.9894044; tag : query; duration : 1.0862855911254883; package_0 : 95075436.0; package_1 : 93886380.0; core_0 : 639951.0; core_1 : 640836.0; nvidia_gpu_0 : 26555
begin timestamp : 1700709239.0788007; tag : query; duration : 0.8715200424194336; package_0 : 76674380.0; package_1 : 75764285.0; core_0 : 505696.0; core_1 : 500996.0; nvidia_gpu_0 : 20970
begin timestamp : 1700709239.957382; tag : query; duration : 0.9439480304718018; package_0 : 82894563.0; package_1 : 81666843.0; core_0 : 558962.0; core_1 : 551424.0; nvidia_gpu_0 : 23082
begin timestamp : 1700709240.9044578; tag : query; duration : 0.9248738288879395; package_0 : 81764250.0; package_1 : 81538234.0; core_0 : 553789.0; core_1 : 556032.0; nvidia_gpu_0 : 22960
begin timestamp : 1700709241.8445601; tag : query; duration : 1.1998615264892578; package_0 : 104106753.0; package_1 : 102620486.0; core_0 : 729852.0; core_1 : 677791.0; nvidia_gpu_0 : 29382
begin timestamp : 1700709243.0506444; tag : query; duration : 1.1500577926635742; package_0 : 100763817.0; package_1 : 99258630.0; core_0 : 743477.0; core_1 : 696100.0; nvidia_gpu_0 : 28393
begin timestamp : 1700709244.2165692; tag : query; duration : 1.1796998977661133; package_0 : 103139930.0; package_1 : 102553687.0; core_0 : 700113.0; core_1 : 690806.0; nvidia_gpu_0 : 28853
begin timestamp : 1700709245.4006455; tag : query; duration : 0.9528794288635254; package_0 : 85419594.0; package_1 : 83278820.0; core_0 : 558840.0; core_1 : 553606.0; nvidia_gpu_0 : 23514
begin timestamp : 1700709246.365495; tag : query; duration : 0.7338922023773193; package_0 : 65600780.0; package_1 : 64957197.0; core_0 : 427713.0; core_1 : 426278.0; nvidia_gpu_0 : 18093
begin timestamp : 1700709247.1081867; tag : query; duration : 1.007676601409912; package_0 : 89219889.0; package_1 : 88186770.0; core_0 : 597229.0; core_1 : 590836.0; nvidia_gpu_0 : 24626
begin timestamp : 1700709248.1190429; tag : query; duration : 1.1834688186645508; package_0 : 103351025.0; package_1 : 102822319.0; core_0 : 700999.0; core_1 : 687235.0; nvidia_gpu_0 : 28787
begin timestamp : 1700709249.3175328; tag : query; duration : 0.7307136058807373; package_0 : 64814077.0; package_1 : 64031158.0; core_0 : 420602.0; core_1 : 424477.0; nvidia_gpu_0 : 18122
begin timestamp : 1700709250.0615156; tag : query; duration : 1.0835139751434326; package_0 : 94651508.0; package_1 : 93683662.0; core_0 : 633573.0; core_1 : 624098.0; nvidia_gpu_0 : 26454
begin timestamp : 1700709251.1482093; tag : query; duration : 0.856543779373169; package_0 : 75853163.0; package_1 : 74920503.0; core_0 : 499684.0; core_1 : 504383.0; nvidia_gpu_0 : 20975
begin timestamp : 1700709252.0095153; tag : query; duration : 0.8117756843566895; package_0 : 71881475.0; package_1 : 71039631.0; core_0 : 473685.0; core_1 : 471488.0; nvidia_gpu_0 : 20040
begin timestamp : 1700709252.8323998; tag : query; duration : 1.0851850509643555; package_0 : 95128061.0; package_1 : 93866301.0; core_0 : 640592.0; core_1 : 632948.0; nvidia_gpu_0 : 26512
begin timestamp : 1700709253.920709; tag : query; duration : 0.8667178153991699; package_0 : 76595526.0; package_1 : 75579297.0; core_0 : 514119.0; core_1 : 506551.0; nvidia_gpu_0 : 21425
begin timestamp : 1700709254.8006544; tag : query; duration : 0.8673360347747803; package_0 : 76572014.0; package_1 : 75720144.0; core_0 : 507512.0; core_1 : 504643.0; nvidia_gpu_0 : 21558
begin timestamp : 1700709255.6852791; tag : query; duration : 1.1677148342132568; package_0 : 103041516.0; package_1 : 102314655.0; core_0 : 697717.0; core_1 : 691295.0; nvidia_gpu_0 : 28509
begin timestamp : 1700709256.856124; tag : query; duration : 1.2236192226409912; package_0 : 107353458.0; package_1 : 106771914.0; core_0 : 724862.0; core_1 : 717004.0; nvidia_gpu_0 : 29769
begin timestamp : 1700709258.0951102; tag : query; duration : 0.946216344833374; package_0 : 83188218.0; package_1 : 82009309.0; core_0 : 564286.0; core_1 : 557116.0; nvidia_gpu_0 : 23115
begin timestamp : 1700709259.0444355; tag : query; duration : 0.7459301948547363; package_0 : 65778977.0; package_1 : 65274685.0; core_0 : 431619.0; core_1 : 427514.0; nvidia_gpu_0 : 18046
begin timestamp : 1700709259.8015258; tag : query; duration : 1.0189869403839111; package_0 : 89408385.0; package_1 : 88489686.0; core_0 : 599075.0; core_1 : 592834.0; nvidia_gpu_0 : 24977
begin timestamp : 1700709260.8264456; tag : query; duration : 0.9051699638366699; package_0 : 80560943.0; package_1 : 79154125.0; core_0 : 549257.0; core_1 : 554643.0; nvidia_gpu_0 : 22110
begin timestamp : 1700709261.73479; tag : query; duration : 1.223818063735962; package_0 : 106459033.0; package_1 : 105053283.0; core_0 : 716729.0; core_1 : 713143.0; nvidia_gpu_0 : 29798
begin timestamp : 1700709262.974158; tag : query; duration : 0.7292795181274414; package_0 : 64658643.0; package_1 : 63791150.0; core_0 : 428277.0; core_1 : 424126.0; nvidia_gpu_0 : 18081
begin timestamp : 1700709263.7170675; tag : query; duration : 0.909928560256958; package_0 : 80448476.0; package_1 : 80302533.0; core_0 : 544101.0; core_1 : 538607.0; nvidia_gpu_0 : 22469
begin timestamp : 1700709264.6402063; tag : query; duration : 1.042435646057129; package_0 : 90551317.0; package_1 : 90263246.0; core_0 : 601211.0; core_1 : 592285.0; nvidia_gpu_0 : 25450
begin timestamp : 1700709265.6857662; tag : query; duration : 0.9565467834472656; package_0 : 84248557.0; package_1 : 82967908.0; core_0 : 569429.0; core_1 : 559709.0; nvidia_gpu_0 : 23418
begin timestamp : 1700709266.6480803; tag : query; duration : 1.1898345947265625; package_0 : 106010921.0; package_1 : 104894951.0; core_0 : 728265.0; core_1 : 703242.0; nvidia_gpu_0 : 29308
begin timestamp : 1700709267.8517592; tag : query; duration : 0.686774730682373; package_0 : 61014606.0; package_1 : 59252536.0; core_0 : 397090.0; core_1 : 413522.0; nvidia_gpu_0 : 17105
begin timestamp : 1700709268.5544019; tag : query; duration : 0.6806018352508545; package_0 : 60545011.0; package_1 : 58997391.0; core_0 : 392482.0; core_1 : 412286.0; nvidia_gpu_0 : 16642
begin timestamp : 1700709269.2380865; tag : query; duration : 1.1598749160766602; package_0 : 100412791.0; package_1 : 99255487.0; core_0 : 656659.0; core_1 : 654095.0; nvidia_gpu_0 : 28427
begin timestamp : 1700709270.4057045; tag : query; duration : 1.0172808170318604; package_0 : 89495493.0; package_1 : 86820537.0; core_0 : 598618.0; core_1 : 594024.0; nvidia_gpu_0 : 25037
begin timestamp : 1700709271.433769; tag : query; duration : 0.5841712951660156; package_0 : 52426458.0; package_1 : 50929877.0; core_0 : 334287.0; core_1 : 380291.0; nvidia_gpu_0 : 14300
begin timestamp : 1700709272.0210705; tag : query; duration : 0.6029505729675293; package_0 : 53642383.0; package_1 : 52282605.0; core_0 : 374859.0; core_1 : 381892.0; nvidia_gpu_0 : 14337
begin timestamp : 1700709272.6271474; tag : query; duration : 0.6041994094848633; package_0 : 53952898.0; package_1 : 52517090.0; core_0 : 378963.0; core_1 : 385371.0; nvidia_gpu_0 : 14676
begin timestamp : 1700709273.2469337; tag : query; duration : 1.1755552291870117; package_0 : 102620639.0; package_1 : 102034808.0; core_0 : 687998.0; core_1 : 680461.0; nvidia_gpu_0 : 28942
begin timestamp : 1700709274.4359117; tag : query; duration : 1.0941076278686523; package_0 : 95567186.0; package_1 : 93911464.0; core_0 : 635892.0; core_1 : 631437.0; nvidia_gpu_0 : 26974
begin timestamp : 1700709275.5444474; tag : query; duration : 1.0885915756225586; package_0 : 95854510.0; package_1 : 94309241.0; core_0 : 633542.0; core_1 : 633131.0; nvidia_gpu_0 : 26587
begin timestamp : 1700709276.636134; tag : query; duration : 1.099327564239502; package_0 : 96162660.0; package_1 : 93527924.0; core_0 : 643003.0; core_1 : 616927.0; nvidia_gpu_0 : 26839
begin timestamp : 1700709277.7387955; tag : query; duration : 1.0939359664916992; package_0 : 95621077.0; package_1 : 94164961.0; core_0 : 638806.0; core_1 : 631467.0; nvidia_gpu_0 : 26850
begin timestamp : 1700709278.8415947; tag : query; duration : 1.2585179805755615; package_0 : 110079054.0; package_1 : 108578095.0; core_0 : 753715.0; core_1 : 747734.0; nvidia_gpu_0 : 30733
begin timestamp : 1700709280.1042614; tag : query; duration : 0.8840441703796387; package_0 : 78290018.0; package_1 : 76141631.0; core_0 : 524753.0; core_1 : 519749.0; nvidia_gpu_0 : 21642
